Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Sale,Previous_owners,Additions
مرسيدس E220,2015,165000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2250,102500,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
بي ام دبليو 525,2003,55000,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن GTI,2018,168000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا فورتي,2010,43500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000,,نقدا فقط,للبيع فقط,ايد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
سيت ليون,2019,88999,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,50000,4+1,إمكانية التقسيط,للبيع أو التبديل,استيراد الماني,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
سيت ارونا,2018,88000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1100,4700,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سوبارو نملة,1980,5000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,نقدا فقط,للبيع فقط,8,"مُكيّف,جهاز إنذار,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا فابيا,2015,50000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,2000000,4+1,إمكانية التقسيط,للبيع فقط,١,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا يتي,2012,82000,بني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
بي ام دبليو 320,2002,65000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2200,265000,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل فيكترا,2000,20000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,12345,4+1,نقدا فقط,للبيع فقط,5,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
فولكسفاجن باسات,2011,76000,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,99000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
دايو سبيرو,1995,20000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1900,11111,4+1,نقدا فقط,للبيع أو التبديل,٢,"إغلاق مركزي,مسجل,جنطات مغنيسيوم"
كيا برايد,2015,45000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن بولو,2015,53000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,160000,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف,إغلاق مركزي,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن بولو,1999,2000,كحلي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,9999999999,4+1,إمكانية التقسيط,للبيع أو التبديل,9,"إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
ميتسوبيشي لانسر,1995,35000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,٠,"إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد"
فولكسفاجن 2007,2007,42000,برتقالي,ديزل,عمومي,فلسطينية,عادي,يدوي,2500,800000,7+1,نقدا فقط,للبيع فقط,ثالثة,مسجل
سيت ليون,2018,74000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,71000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سيت ليون,2020,110000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,8000,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فيات بونتو,2010,36000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,159000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
اوبل استرا,1997,16000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,46554,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
ميتسوبيشي باجيرو,2001,45000,أخضر,ديزل,حكومي,فلسطينية,عادي,الكتروني,2500,,4+1,إمكانية التقسيط,للبيع أو التبديل,1,"جهاز إنذار,جنطات مغنيسيوم,وسادة حماية هوائية"
كيا ماجنتيس,2010,50000,بترولي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي اكسنت,2016,64000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,75000,4+1,نقدا فقط,للبيع أو التبديل,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سكودا اوكتافيا,2016,80000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,4+1,نقدا فقط,للبيع أو التبديل,اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي توسان,2014,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,98000,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سورينتو,2007,44000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,,6+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بيجو 2008,2008,36000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,,إمكانية التقسيط,للبيع فقط,ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
كيا سيراتو,2016,72000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,يديانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
مرسيدس E220,1986,24000,أسود ميتالك,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2500,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن كرافيل,2007,65000,أبيض,ديزل,عمومي,فلسطينية,عادي,يدوي,2500,,7+1,إمكانية التقسيط,للبيع أو التبديل,,"جنطات مغنيسيوم,فرش جلد"
اوبل كورسا,2016,46000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,97000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي اكسنت,2019,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,55,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سييد,2010,38000,أبيض عاجي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1600,000000,4+1,إمكانية التقسيط,للبيع أو التبديل,٣,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
شفروليه افيو,2009,28000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,29000,,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سيت ابيزا,2017,70000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,68000,,نقدا فقط,للبيع أو التبديل,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بي ام دبليو ميني كوبر,2009,58000,بيج,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,140000,3+1,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سورينتو,2011,78000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,125000,6+1,إمكانية التقسيط,للبيع فقط,ثالثة,
لاندروفر ديسكفري,2018,225000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,14000,6+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي كونا,2019,100000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,استيراد مباشر,
كيا ستونك,2019,89999,بترولي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,21000,4+1,إمكانية التقسيط,للبيع فقط,استيراد كوريا,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي جيتس,2007,30000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,160000,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
بيجو 206,2006,23000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,50000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد رابعة,"إغلاق مركزي,مسجل,جنطات مغنيسيوم"
هونداي توسان,2017,115000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,97000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن تيجوان,2011,88000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,188000,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
اوبل استرا,1999,100000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,185000,,نقدا فقط,للبيع فقط,,"مُكيّف,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سكودا رومستر,2012,52000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,200000,,نقدا فقط,للبيع أو التبديل,يد ثانيه,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن GTI,2012,90000,أبيض عاجي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,136000,4+1,إمكانية التقسيط,للبيع فقط,4,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي كونا,2019,100000,أخضر,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,20400,,إمكانية التقسيط,للبيع أو التبديل,مستورد,"مُكيّف,إغلاق مركزي,جهاز إنذار,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي ix35,2013,72000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,4+1,إمكانية التقسيط,للبيع فقط,يد ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
بي ام دبليو 530,2007,95000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,170000,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن شيروكو,2011,67000,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,2000,130000,3+1,نقدا فقط,للبيع فقط,سابعه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سكودا اوكتافيا,2014,64000,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فورد فيستا,2014,38000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,140000,4+1,نقدا فقط,للبيع أو التبديل,3,
كيا اوبتيما,2019,105000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1700,57000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن باسات,2008,43000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,90.000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
مازدا 3,2004,10000,ذهبي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,200,240000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فورد فيستا,2012,36000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,200,4+1,إمكانية التقسيط,للبيع فقط,ثالثه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
بي ام دبليو 530,2019,29000,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,40000,4+1,إمكانية التقسيط,للبيع فقط,0,
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سيت ليون,2018,117000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,45000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بيجو 205,1991,19000,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد"
ميتسوبيشي كانتر,2003,25000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,3500,,2+1,نقدا فقط,للبيع فقط,3,
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن كادي,2016,105000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,78000,6+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
سكودا فابيا,2017,62000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,180,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فورد فوكس,2012,40000,كرميدي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,75000,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
لاندروفر ديسكفري,2006,100000,أسود,ديزل,حكومي,فلسطينية,اوتوماتيك,الكتروني,2770,170000,6+1,إمكانية التقسيط,للبيع فقط,يد ثاني,"مُكيّف,إغلاق مركزي,مسجل,فتحة سقف,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن كرافيل,2005,43000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7+1,نقدا فقط,للبيع أو التبديل,,
كيا سيراتو,2007,42000,أبيض عاجي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن كادي,2015,85000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,180000,6+1,نقدا فقط,للبيع فقط,٥,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2008,45000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,400,4+1,إمكانية التقسيط,للبيع أو التبديل,6,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بي ام دبليو BMW735,1997,55000,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,128000,,نقدا فقط,للبيع فقط,يد اولى,
سكودا 2007,2007,41500,فيراني,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,٤,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
باص 412,1999,38000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,000,2+1,نقدا فقط,للبيع فقط,2,"مسجل,جنطات مغنيسيوم"
اوبل زافيرا,2002,30000,خمري,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,6+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
شفروليه 2007,2007,60000,أبيض عاجي,ديزل,حكومي,فلسطينية,اوتوماتيك,يدوي,6600,39000,2+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,"مُكيّف,مسجل,فرش جلد,وسادة حماية هوائية"
بيجو 306,1998,13000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,5000000,4+1,نقدا فقط,للبيع أو التبديل,يد 5,مسجل
بيجو 2008,2014,48000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,150000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل كورسا,2015,50000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,90000,4+1,إمكانية التقسيط,للبيع فقط,4,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
هونداي H1,2010,36500,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,00000000,6+1,إمكانية التقسيط,للبيع فقط,",3","مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد"
فيات باندا,2014,35000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,71000,4+1,نقدا فقط,للبيع أو التبديل,٢,"مُكيّف,جهاز إنذار,مسجل"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سيت ليون,2015,58000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
رينو فلوانس,2013,45000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,إمكانية التقسيط,للبيع فقط,,
فولكسفاجن باسات,2004,33000,أبيض,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"إغلاق مركزي,مسجل,جنطات مغنيسيوم"
فولكسفاجن كادي,2006,49000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,0000000000,6+1,نقدا فقط,للبيع أو التبديل,يدثالثه,
هونداي توسان,2015,109999,بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,65000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا سورينتو,2018,165000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,68,6+1,إمكانية التقسيط,للبيع فقط,٢,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن جولف,2014,92000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جنطات مغنيسيوم"
مرسيدس w210,1997,39000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2300,250000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
نيسان تيدا,2011,45000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,52,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
فولكسفاجن بولو,1998,13000,أبيض,بنزين,حكومي,فلسطينية,عادي,الكتروني,1600,11111,4+1,إمكانية التقسيط,للبيع أو التبديل,اربعة,مسجل
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي سانتافيه,2013,94000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,,6+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2004,32000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
كيا اوبتيما,2018,130000,أسود,هايبرد,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سوبارو نملة,1984,6500,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,520000,4+1,نقدا فقط,للبيع فقط,12,
فولكسفاجن جولف بلس,2008,30000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,,
هونداي اكسنت,2016,68000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع أو التبديل,يد أولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
